Epoch,hidden num,Data Argu,train Acc,test Acc
50,100,False,0.9607333540916443,0.8845000267028809
50,100,True,0.883566677570343,0.7512999773025513
50,256,False,0.8998000025749207,0.8751000165939331
50,256,True,0.09870000183582306,0.18559999763965607
50,512,False,0.6075666546821594,0.599399983882904
50,512,True,0.10026666522026062,0.10000000149011612
100,100,False,0.09673333168029785,0.10000000149011612
100,100,True,0.09804999828338623,0.10000000149011612
100,256,False,0.09726666659116745,0.10000000149011612
100,256,True,0.09821666777133942,0.10000000149011612
100,512,False,0.10003333538770676,0.10000000149011612
100,512,True,0.09961666911840439,0.10000000149011612
